step,epoch,train_loss_step,test_acc_step,test_acc_epoch,train_loss_epoch
49,0,1.411163330078125,,,
99,0,0.8413819670677185,,,
149,0,0.44980448484420776,,,
199,0,0.2826765477657318,,,
249,0,0.5846256613731384,,,
299,0,0.6662662029266357,,,
349,0,0.7833569049835205,,,
399,0,0.610237717628479,,,
449,0,0.2895020544528961,,,
499,0,0.3884950578212738,,,
549,0,0.5161007642745972,,,
599,0,0.533660888671875,,,
649,0,0.870177686214447,,,
699,0,0.7899308204650879,,,
749,0,0.8441303372383118,,,
799,0,0.35620948672294617,,,
849,0,0.4240320324897766,,,
899,0,1.2605680227279663,,,
949,0,0.9542129039764404,,,
999,0,0.7857369184494019,,,
1049,0,1.0253759622573853,,,
1099,0,0.40192413330078125,,,
1149,0,1.128111481666565,,,
1199,0,0.7900305390357971,,,
1249,0,0.696439802646637,,,
1299,0,0.527686357498169,,,
1349,0,1.1719766855239868,,,
1399,0,1.1564522981643677,,,
1449,0,0.7757190465927124,,,
1499,0,0.886683464050293,,,
1549,0,1.2478783130645752,,,
1599,0,0.7800799608230591,,,
1649,0,0.37145689129829407,,,
1699,0,1.7737183570861816,,,
1749,0,1.902450442314148,,,
1799,0,0.7796660661697388,,,
1849,0,0.3094043433666229,,,
1899,0,0.7868942022323608,,,
1949,0,0.30567899346351624,,,
1999,0,0.7799646258354187,,,
2049,0,0.9858208894729614,,,
2099,0,0.38543206453323364,,,
2149,0,0.3275628089904785,,,
2199,0,0.4297177791595459,,,
2249,0,0.5928550958633423,,,
2299,0,0.4619869291782379,,,
2349,0,0.7796041965484619,,,
2399,0,0.38852986693382263,,,
2449,0,0.8237438797950745,,,
2499,0,1.012025237083435,,,
2549,0,0.28236061334609985,,,
2599,0,0.7781766653060913,,,
2649,0,1.3589198589324951,,,
2699,0,1.2327371835708618,,,
2749,0,0.46927547454833984,,,
2799,0,1.2336276769638062,,,
2849,0,0.4438168704509735,,,
2899,0,0.8230544328689575,,,
2949,0,0.7954629063606262,,,
2999,0,1.9667441844940186,,,
3049,0,1.1450859308242798,,,
3099,0,0.7777929902076721,,,
3149,0,0.7790223360061646,,,
0,,,1.0,,
1,,,1.0,,
2,,,1.0,,
3,,,0.9375,,
4,,,1.0,,
5,,,1.0,,
6,,,1.0,,
7,,,1.0,,
8,,,1.0,,
9,,,1.0,,
10,,,1.0,,
11,,,1.0,,
12,,,1.0,,
13,,,0.9375,,
14,,,1.0,,
15,,,1.0,,
16,,,0.9375,,
17,,,1.0,,
18,,,1.0,,
19,,,1.0,,
20,,,1.0,,
21,,,1.0,,
22,,,0.9375,,
23,,,1.0,,
24,,,1.0,,
25,,,1.0,,
26,,,0.9375,,
27,,,1.0,,
28,,,1.0,,
29,,,1.0,,
30,,,1.0,,
31,,,1.0,,
32,,,1.0,,
33,,,1.0,,
34,,,1.0,,
35,,,1.0,,
36,,,1.0,,
37,,,1.0,,
38,,,1.0,,
39,,,1.0,,
40,,,1.0,,
41,,,1.0,,
42,,,1.0,,
43,,,0.9375,,
44,,,1.0,,
45,,,1.0,,
46,,,1.0,,
47,,,0.9375,,
48,,,1.0,,
49,,,1.0,,
50,,,1.0,,
51,,,1.0,,
52,,,1.0,,
53,,,1.0,,
54,,,1.0,,
55,,,1.0,,
56,,,1.0,,
57,,,1.0,,
58,,,1.0,,
59,,,1.0,,
60,,,1.0,,
61,,,1.0,,
62,,,1.0,,
63,,,0.9375,,
64,,,1.0,,
65,,,0.9375,,
66,,,1.0,,
3165,0,,,0.9914853572845459,
3165,0,,,,0.8387170433998108
3199,1,0.5051416754722595,,,
3249,1,0.7955824136734009,,,
3299,1,0.6406660079956055,,,
3349,1,1.3714730739593506,,,
3399,1,0.5320820808410645,,,
3449,1,0.8509712219238281,,,
3499,1,0.8100688457489014,,,
3549,1,1.2268602848052979,,,
3599,1,0.3531053960323334,,,
3649,1,0.3925531506538391,,,
3699,1,0.5149371027946472,,,
3749,1,0.9634526968002319,,,
3799,1,0.34277111291885376,,,
3849,1,0.8607279062271118,,,
3899,1,1.5304313898086548,,,
3949,1,0.42663976550102234,,,
3999,1,0.40431979298591614,,,
4049,1,0.8351759314537048,,,
4099,1,0.4111803472042084,,,
4149,1,0.5274146795272827,,,
4199,1,1.2411936521530151,,,
4249,1,0.7873570322990417,,,
4299,1,0.35437050461769104,,,
4349,1,0.7782204151153564,,,
4399,1,1.210517168045044,,,
4449,1,0.5085638761520386,,,
4499,1,1.5048168897628784,,,
4549,1,1.7335453033447266,,,
4599,1,0.7780479192733765,,,
4649,1,0.3218437433242798,,,
4699,1,0.959277868270874,,,
4749,1,0.44144129753112793,,,
4799,1,1.7746604681015015,,,
4849,1,0.4413338005542755,,,
4899,1,1.1043354272842407,,,
4949,1,1.2415833473205566,,,
4999,1,0.5509427785873413,,,
5049,1,0.43855905532836914,,,
5099,1,0.5062574148178101,,,
5149,1,0.7911752462387085,,,
5199,1,0.8453489542007446,,,
5249,1,0.7119849920272827,,,
5299,1,0.4032439887523651,,,
5349,1,1.1521868705749512,,,
5399,1,0.8457268476486206,,,
5449,1,0.3289196193218231,,,
5499,1,1.9259467124938965,,,
5549,1,0.8434174060821533,,,
5599,1,0.7925177216529846,,,
5649,1,0.5237680077552795,,,
5699,1,0.4348433017730713,,,
5749,1,0.7916849851608276,,,
5799,1,0.7781829833984375,,,
5849,1,1.6357698440551758,,,
5899,1,0.67546546459198,,,
5949,1,0.348483681678772,,,
5999,1,0.35775667428970337,,,
6049,1,0.4322468936443329,,,
6099,1,0.32944944500923157,,,
6149,1,1.130237102508545,,,
6199,1,0.841264545917511,,,
6249,1,0.3979262411594391,,,
6299,1,0.9239531755447388,,,
67,,,1.0,,
68,,,1.0,,
69,,,1.0,,
70,,,1.0,,
71,,,1.0,,
72,,,1.0,,
73,,,1.0,,
74,,,1.0,,
75,,,1.0,,
76,,,1.0,,
77,,,1.0,,
78,,,1.0,,
79,,,1.0,,
